first_name,last_name,categories
Gilbert,Calhoun,"['3', '6', '4']"
Manie,Maxwell,"['6', '3']"
Giselle,Robles,"['1', '2']"
Tessie,Farmer,"['6', '3', '1']"
Felica,Munoz,"['6', '7', '3', '2']"
Kathyrn,Bush,"['3', '2']"
Sylvester,Chan,"['3', '1']"
Ernestina,Skinner,"['6', '3']"
Phyllis,Hill,"['3', '2']"
Brittney,Rojas,"['6', '3', '2']"
Lean,Stark,"['3', '2']"
Klara,Kim,"['6', '3', '1']"
Julianne,Shannon,"['3', '2', '6', '7', '5']"
Olympia,Figueroa,"['6', '3']"
Mellie,Puckett,"['6', '3']"
Shonta,Preston,"['3', '6']"
Lore,Sykes,"['1', '7', '3', '2']"
Julia,Joyner,"['6', '3']"
Lynwood,Jackson,"['2', '6', '7']"
Rosalva,Hamilton,"['5', '7']"
Rodrigo,Durham,"['1', '2']"
Dwain,Carlson,"['4', '3', '1']"
Erlinda,Humphrey,"['4', '1', '6', '7', '3']"
Silas,Tate,"['6', '3', '2']"
Onita,Macdonald,"['3', '1']"
Janine,Manning,"['1', '6', '2']"
Melodie,Melton,"['2', '4', '3', '1']"
Ethelyn,Ray,"['3', '2']"
Phebe,Turner,"['6', '4', '1']"
Hilda,Harvey,"['6', '3']"
Gilberte,Duke,"['6', '7', '1']"
Janna,Hayden,"['6', '5', '3', '1']"
Letisha,May,"['3', '6', '7', '2']"
Graig,Cannon,"['7', '3', '1', '2']"
Coleen,Navarro,"['3', '6', '1']"
Lucilla,Williams,"['3', '1']"
Rosanne,George,"['1', '7', '3']"
Letty,Cobb,"['3', '2', '6', '7']"
Nathaniel,Richard,"['5', '3', '2']"
Elaina,Key,"['6', '4', '1']"
Stefani,Gamble,"['6', '4', '1']"
Crysta,Velez,"['3', '7']"
Jule,Davenport,"['6', '3']"
Elease,Dejesus,"['3', '6']"
Maira,Long,"['3', '1', '7', '2']"
Jana,Thomas,"['1', '6', '7', '5', '4']"
Daina,Sampson,"['6', '3']"
Delmar,Wise,"['7', '1']"
Alita,Salinas,"['1', '3']"
Elenore,William,"['6', '7', '3', '1']"
Liliana,Kerr,"['3', '2']"
Hortencia,O'neil,"['3', '1']"
Beryl,Bennett,"['6', '3']"
Alishia,Elliott,"['6', '5', '3', '2']"
Ruthanne,Hoover,"['6', '3', '1', '2']"
James,Robles,"['6', '3']"
Evelin,Vargas,"['3', '1']"
Elvia,Cardenas,"['6', '7', '3', '2']"
Randee,Pitts,"['5', '4']"
Lea,Irwin,"['3', '1']"
Katina,Mcintosh,"['3', '2']"
Joann,Barber,"['6', '2']"
Thurman,Ellis,"['6', '4', '3', '1']"
Delana,Wagner,"['3', '2', '1']"
Porter,Bass,"['3', '2', '6']"
Yvonne,Bean,"['4', '3']"
Lurline,Rivers,"['6', '3', '2']"
Ocie,Slater,"['7', '4']"
Genevie,Miles,"['3', '1']"
Sherilyn,Wilcox,"['4', '6', '3']"
Aida,Koch,"['6', '3']"
Emory,O'connor,"['3', '1']"
Maximina,Hutchinson,"['6', '2', '3', '1']"
Marina,Hinton,"['6', '3']"
Danyell,Dickerson,"['4', '3', '1']"
Tonja,Henderson,"['4', '1']"
Krissy,Ochoa,"['3', '1', '2', '6']"
Angele,Castro,"['6', '1']"
Siobhan,Lang,"['7', '1']"
Venessa,Frost,"['1', '6']"
Verna,Solis,"['6', '3']"
Steve,Bender,"['6', '3', '1']"
Aileen,Marquez,"['6', '5', '1']"
Kattie,Stevenson,"['1', '6', '3', '2']"
Hassan,Nash,"['5', '3']"
Venus,Hewitt,"['3', '1', '2']"
Stephen,Vega,"['3', '1']"
Ciera,Koch,"['2', '6', '7', '3']"
Christel,Barber,"['6', '3']"
Arline,Lawson,"['3', '1', '4']"
Iva,Wilcox,"['6', '4', '3', '2']"
Anisha,Lang,"['4', '3', '2']"
Margit,Osborn,"['6', '3', '1', '2']"
Novella,Patel,"['6', '3']"
Laurette,Hebert,"['6', '3', '1']"
Samual,Warner,"['2', '6', '5', '1']"
Damian,Mills,"['7', '1']"
Margaretta,Clayton,"['6', '3', '1']"
Marcell,Barrett,"['6', '2']"
Annis,Sanchez,"['6', '3', '1']"
Ayanna,Cherry,"['7', '1', '2']"
Barton,Cox,"['6', '3', '1']"
Diana,Reyes,"['6', '1']"
Ingeborg,Ellison,"['6', '3', '2']"
Carter,Booth,"['6', '2']"
Orval,Hunter,"['6', '3']"
Marguerite,Berger,"['6', '1', '2']"
Ivette,Warren,"['6', '4', '3', '1', '2']"
Milagros,Weber,"['1', '4', '3', '2']"
Marcel,Lindsay,"['6', '2']"
Louis,Powell,"['2', '1', '3']"
Vanda,Holmes,"['3', '2']"
Loreen,Byers,"['6', '4', '3', '2']"
Casimira,Chapman,"['6', '3', '2']"
Brigida,Larson,"['6', '5', '3']"
Demarcus,Reese,"['6', '4', '2']"
Amina,Salazar,"['6', '4', '3', '1']"
Trinidad,Mcclain,"['6', '4', '3']"
Heather,Chaney,"['3', '6', '1']"
Latoya,Johns,"['6', '7', '3']"
Shiloh,Reeves,"['4', '3']"
Lee,Roman,"['4', '3', '2']"
Cami,Williamson,"['1', '2']"
Sharell,Ross,"['7', '2']"
Ruthanne,Franco,"['5', '2']"
Marjory,Leonard,"['6', '2', '3']"
Jimmy,Russell,"['7', '6', '5']"
Berneice,Pollard,"['3', '1']"
Katia,Henry,"['7', '3', '1', '2']"
Josephine,Dale,"['6', '4', '3']"
Alma,Peck,"['1', '2']"
Nichelle,Rosario,"['4', '1']"
Shenna,Benton,"['6', '1']"
Philip,Bryan,"['6', '2']"
Carita,Salinas,"['6', '7', '2']"
Janie,Herrera,"['6', '5', '1']"
Lorraine,Marks,"['3', '6', '7', '1']"
Nicolas,Carlson,"['6', '3']"
Adena,Blake,"['6', '7']"
Coleman,Boyd,"['7', '3', '1']"
Daphine,Willis,"['2', '3']"
Jenine,Dawson,"['7', '3']"
Shanita,Wiley,"['7', '3', '1']"
Shanna,Bonner,"['6', '3', '1']"
Ping,Quinn,"['3', '2', '1']"
Saran,Moses,"['6', '3']"
Tonja,Bean,"['3', '1', '7', '2']"
Vernon,Knowles,"['6', '3']"
Jeannette,Skinner,"['3', '1', '2']"
Rico,Salas,"['6', '4', '3']"
Tangela,Hurley,"['3', '1']"
Ashanti,Hammond,"['6', '7']"
Garry,Juarez,"['2', '6']"
Bee,Baker,"['6', '3']"
Shantae,Hammond,"['6', '4', '3']"
Bettye,Espinoza,"['3', '7', '1']"
Larissa,Hays,"['6', '3', '1']"
Diane,Jones,"['6', '2', '7']"
Dane,Mcdaniel,"['3', '1', '2']"
Jamaal,Baker,"['3', '2']"
Ji,Burt,"['5', '3', '1']"
Marcelino,Mcbride,"['6', '2']"
Tonisha,Fowler,"['5', '6', '7']"
Zora,Ford,"['7', '5', '3']"
Parthenia,Figueroa,"['6', '3']"
Arielle,Levine,"['6', '3', '1']"
Rebbecca,Espinoza,"['6', '3']"
Conchita,Boone,"['6', '7', '3', '1']"
Aisha,Woods,"['6', '3']"
Season,Harvey,"['1', '3']"
Tommie,Cooley,"['6', '7', '3']"
Alanna,Barry,"['3', '1']"
Jerri,Guthrie,"['6', '4', '2']"
Tammy,Austin,"['6', '3']"
Patsy,Russo,"['6', '1']"
Raeann,Duncan,"['1', '3']"
Lillia,Gillespie,"['6', '3', '2']"
Doris,Kaufman,"['3', '6', '2']"
Rodolfo,Buck,"['6', '4']"
Olimpia,Mays,"['3', '6', '7']"
Shemeka,Lyons,"['6', '3']"
Maryalice,Henry,"['3', '6', '1']"
Dann,Huff,"['6', '3', '2']"
Theresia,Barron,"['6', '3', '1', '2']"
Cindi,Ellis,"['3', '1']"
Mirella,Duffy,"['6', '4', '3']"
Carson,Macias,"['6', '3', '1', '7']"
Cher,Alston,"['6', '3', '2']"
Regine,Odom,"['7', '2']"
Adam,Thornton,"['6', '4']"
Cori,Schwartz,"['6', '7', '1']"
Willow,Gardner,"['7', '3', '1']"
Jane,Henderson,"['6', '2']"
Chere,Mcfadden,"['6', '3']"
Ira,Erickson,"['6', '7', '2']"
Risa,Gallagher,"['6', '3', '1', '2']"
Alejandrina,Hodges,"['6', '3', '2']"
Keitha,Black,"['1', '2']"
Tonda,Webb,"['6', '3', '1']"
Collen,Dennis,"['4', '1', '2']"
Treasa,Dickerson,"['3', '1']"
Penny,Acevedo,"['7', '1']"
Louise,Flowers,"['2', '3', '1']"
Henrietta,Wagner,"['6', '3', '2']"
Ardelia,Cooley,"['6', '2']"
Khalilah,Robertson,"['1', '6']"
Armando,Black,"['7', '1', '2']"
Bao,Wade,"['6', '3', '2']"
Gussie,Harding,"['6', '2']"
Hollis,Rasmussen,"['6', '5', '3']"
Kendra,Harrington,"['4', '3', '1']"
Douglass,Blankenship,"['2', '6', '1']"
Lina,Meadows,"['4', '2', '3', '1']"
Jeffrey,Hill,"['6', '3']"
Ja,Dillard,"['2', '6']"
Tora,Dunlap,"['5', '3', '2']"
Karole,Alvarez,"['6', '7', '2']"
Shasta,Combs,"['6', '3']"
Cicely,Deleon,"['7', '3', '1', '2']"
Caleb,England,"['1', '7', '2']"
Elmira,Levy,"['6', '1']"
Bea,Kane,"['3', '6', '1']"
Gilberto,Sanders,"['5', '1', '2']"
Desmond,Rose,"['6', '3', '7', '5']"
Parthenia,Holman,"['5', '6', '7', '3']"
Dung,King,"['6', '3']"
Sherril,Alvarado,"['3', '6', '5']"
Alisia,Albert,"['3', '1', '7']"
Kallie,Best,"['6', '3', '5']"
Dottie,Roberts,"['4', '1']"
Hubert,Stone,"['7', '3', '1']"
Gabriella,Jones,"['6', '1']"
Penney,Hall,"['6', '4']"
Mallie,Osborn,"['5', '3', '2']"
Jewel,Sparks,"['5', '1']"
Deandrea,Vega,"['6', '3', '1']"
Kandace,Ayers,"['6', '4', '3', '1']"
Lenore,Valdez,"['6', '5', '3', '1']"
Drucilla,Gilliam,"['6', '3', '1']"
Keturah,Reid,"['6', '7', '1']"
Herminia,Reyes,"['5', '2']"
Tuyet,Rosa,"['3', '2', '6', '7']"
Ara,Vazquez,"['4', '3', '1']"
Barry,Albert,"['1', '6']"
Verdell,Joyner,"['3', '2']"
Han,Wade,"['4', '3']"
Vito,Pickett,"['3', '4', '1']"
Charlene,Norris,"['5', '3']"
Efren,Whitfield,"['6', '3']"
Santa,Larson,"['5', '1']"
Carmelina,Sellers,"['7', '1']"
Carmela,Hays,"['4', '3', '1', '2']"
Patrina,Tanner,"['6', '3']"
Rikki,Morrow,"['6', '3', '1', '2']"
Beatris,Joyner,"['4', '3', '2']"
Earlean,Pena,"['6', '5', '1']"
Katherin,Clark,"['1', '6', '7']"
Chanel,May,"['3', '1', '2']"
Aaron,Knapp,"['6', '3']"
Sindy,Anderson,"['6', '3', '1']"
Charlesetta,Soto,"['3', '4']"
Wendie,Nash,"['5', '2']"
Vernetta,Banks,"['6', '3']"
Agustina,Lawrence,"['6', '3', '2']"
Kim,Clark,"['1', '6', '2']"
Annabelle,Hebert,"['3', '1']"
Corine,Stuart,"['1', '2']"
Kenyetta,Mason,"['1', '3']"
Marcene,Curtis,"['6', '3']"
Sheila,Goodman,"['6', '3', '1']"
Romeo,Steele,"['3', '7']"
Tam,Fisher,"['6', '7']"
Phebe,Soto,"['6', '1']"
Leticia,Snyder,"['6', '3', '1']"
Chantell,Bridges,"['7', '3']"
Nakisha,Clay,"['3', '6', '1']"
Cheryll,Snyder,"['6', '2']"
Consuela,Collier,"['6', '1']"
Aubrey,Durham,"['6', '3', '2']"
Nita,Guy,"['6', '3', '1', '2']"
Carmina,Emerson,"['6', '3', '2']"
Georgeann,Rojas,"['2', '6', '3', '1']"
Leslie,Higgins,"['3', '1']"
Emmaline,Huber,"['5', '4', '3']"
Mercy,Brown,"['6', '2', '3', '1']"
Leila,Barr,"['4', '3', '2']"
Deandrea,Cox,"['6', '3', '1']"
Shawnna,Frank,"['6', '3', '2']"
Brenton,Whitaker,"['6', '3', '2']"
Yang,Giles,"['6', '7', '1']"
Brigid,Sharp,"['7', '5']"
Karl,Stephens,"['3', '6', '7']"
Elvina,Gates,"['3', '7', '1']"
Carlie,Terrell,"['6', '3']"
Alden,Atkinson,"['4', '3']"
Carissa,Cross,"['6', '1']"
Geraldine,O'donnell,"['2', '3', '1']"
Bronwyn,Vargas,"['4', '2']"
Abram,Copeland,"['7', '5', '3']"
Mellisa,Griffin,"['6', '3', '1']"
Qiana,Jackson,"['3', '1']"
Magali,Dixon,"['6', '5', '3']"
Carina,Lynch,"['6', '3', '1']"
Jesus,Burch,"['7', '1']"
Selene,Vega,"['3', '6', '2']"
Jong,Guthrie,"['3', '1']"
Lise,Hebert,"['6', '3', '2']"
Joshua,Berg,"['6', '3', '2']"
Georgina,Gonzales,"['3', '7']"
Rudolph,Velez,"['6', '2']"
Luke,Kramer,"['6', '4', '3', '2']"
Edgar,Quinn,"['5', '4']"
Tara,Maynard,"['3', '1']"
Bella,Perez,"['6', '5', '3']"
Chauncey,Donaldson,"['6', '1']"
Heide,Reed,"['3', '2']"
Trang,Hardin,"['2', '7', '1']"
Gabriela,Warren,"['5', '4', '3', '2']"
Dale,Rasmussen,"['6', '3', '1']"
Tammie,Cherry,"['6', '4', '3']"
Bethany,Herring,"['5', '4']"
Barbra,Dickerson,"['6', '3', '1']"
Neoma,Daugherty,"['4', '3']"
Nanette,Roman,"['1', '2']"
Adriene,Rollins,"['6', '3']"
Susannah,Fields,"['6', '3', '1']"
Dung,Reid,"['7', '1', '2']"
Ben,Stone,"['6', '1']"
Nubia,Anderson,"['3', '6', '1']"
Rosamaria,Meyer,"['6', '3']"
Todd,Waters,"['7', '3']"
Kimbery,Nieves,"['6', '3', '2']"
Phuong,Wolf,"['3', '7', '1']"
Adelaida,Hancock,"['5', '4', '3', '2']"
Brianne,Hays,"['5', '6']"
Rufina,Chandler,"['5', '4']"
Devin,Velazquez,"['6', '3', '1']"
Bonita,Marshall,"['6', '1']"
Myrl,Gay,"['2', '6']"
Sung,Chambers,"['3', '7', '1']"
Gustavo,Gamble,"['6', '1']"
Roy,Chan,"['1', '6', '5']"
Cheree,Hale,"['4', '6', '2']"
Odette,Moses,"['6', '1', '2']"
Lenita,Bonner,"['6', '4']"
Shona,Mcmillan,"['7', '3']"
Loan,Graham,"['3', '6', '1']"
Stan,Saunders,"['2', '6', '7']"
Jackeline,Colon,"['6', '3', '1']"
Marlen,Dawson,"['5', '1']"
Alexis,Mack,"['6', '3', '1', '2']"
Victor,Pittman,"['3', '2']"
Minnie,Compton,"['6', '3', '1']"
Shiloh,Bates,"['6', '7']"
Lakenya,Oliver,"['6', '1']"
Sally,Kinney,"['6', '3']"
Edith,Davenport,"['6', '3']"
Alline,Beasley,"['6', '5', '2']"
Travis,Whitley,"['6', '3', '1']"
Trudy,Riddle,"['3', '7', '1']"
Shauna,Edwards,"['3', '2']"
Clorinda,Donovan,"['6', '3', '2']"
Raven,Curtis,"['4', '3']"
Verda,Gilbert,"['7', '2']"
Renay,Atkins,"['3', '6']"
Tama,Berg,"['3', '6', '1', '2']"
Dalia,Carson,"['3', '1']"
America,Swanson,"['4', '1']"
Cinda,Rocha,"['6', '3', '1', '2']"
Shea,Howell,"['6', '2']"
Emanuel,Mckee,"['7', '6']"
Whitley,Cannon,"['3', '6', '1', '2']"
Tereasa,Bird,"['7', '1']"
Dante,Grimes,"['6', '4']"
Joeann,Garrison,"['6', '4', '3']"
Omega,Johnston,"['6', '5', '4']"
Conrad,Mueller,"['4', '1']"
Tisha,Petty,"['1', '2']"
Claris,Santiago,"['3', '6', '7', '2']"
Shantel,Gregory,"['6', '5']"
Ai,Forbes,"['6', '5']"
Ebony,Cotton,"['3', '1', '2']"
Arla,Ellis,"['4', '3', '2']"
Tarra,Guerrero,"['6', '3', '1']"
Cindie,Franklin,"['6', '4', '3', '1']"
Sharyn,Brewer,"['6', '3']"
Karren,Stevenson,"['6', '7']"
Divina,Reeves,"['4', '1', '2']"
Novella,Ross,"['7', '1']"
Omega,Huff,"['6', '5', '4', '1']"
Ashleigh,Finch,"['6', '4', '3', '2']"
Corina,Lynch,"['6', '2']"
Bernetta,Summers,"['3', '1']"
Inez,Snider,"['6', '2']"
Neida,King,"['3', '2']"
Rozanne,Reyes,"['6', '3', '2']"
Jama,Rodriquez,"['1', '6']"
Eloisa,Tucker,"['6', '3']"
Arie,Hunter,"['6', '3', '1']"
Sanora,Webster,"['6', '1']"
Kate,Barber,"['7', '1']"
Yvone,Guerrero,"['6', '3', '2']"
Kami,Rios,"['6', '3', '2']"
Annett,Rush,"['6', '3', '1', '2']"
Carman,Hardy,"['3', '2']"
Dorothea,Miranda,"['6', '2']"
Agatha,Daniels,"['4', '3', '2']"
Alexandria,Zamora,"['6', '3', '2']"
Thad,Gilliam,"['6', '3']"
Inger,Jennings,"['3', '2']"
Noble,Glover,"['6', '1', '2']"
Octavia,Donaldson,"['6', '4', '2']"
Latashia,Travis,"['6', '4', '3', '2']"
Destiny,Goodman,"['3', '1']"
Christiana,Gross,"['6', '3']"
Nestor,Haynes,"['3', '7']"
Lucile,Manning,"['3', '6', '1']"
Veronique,Fulton,"['6', '3', '1']"
Starr,Schneider,"['3', '1']"
Pandora,Estes,"['6', '2']"
Renna,Williams,"['6', '5', '3']"
Lanora,Robbins,"['6', '3']"
Juliane,Dillard,"['6', '4', '3', '2']"
Carlena,Salinas,"['6', '3', '2']"
Kimberley,Reynolds,"['5', '3', '2']"
Johana,Jacobson,"['3', '1', '2']"
Enoch,Rosario,"['4', '3']"
Dorine,Thornton,"['1', '3']"
Mercedez,Brooks,"['6', '2']"
Wynona,Douglas,"['6', '3', '7']"
Desire,Mcgowan,"['7', '3']"
Elmo,Sweeney,"['7', '3', '1']"
Kenton,Hughes,"['3', '6', '1']"
Genoveva,Lloyd,"['7', '3', '1']"
Sheryl,Chase,"['6', '5', '3']"
Trista,Lambert,"['5', '3']"
Vivian,Deleon,"['5', '1']"
Genny,Fields,"['6', '2']"
Eliseo,Knight,"['4', '6', '3', '1']"
Dewayne,Herring,"['6', '3', '1']"
Nevada,Hood,"['5', '4', '3', '2']"
Angelika,Perry,"['6', '1', '2']"
Shayla,Hart,"['6', '3']"
Willetta,Murphy,"['6', '3', '1']"
Mila,Moody,"['4', '5', '1']"
Loyce,Conway,"['6', '3', '1', '2']"
Thanh,Figueroa,"['3', '2']"
Farrah,Orr,"['6', '5', '1', '2']"
Hugh,Craft,"['6', '2']"
Eleanor,Mendez,"['3', '6', '4']"
Lamar,Bush,"['3', '1', '2']"
Lurlene,Finch,"['3', '1']"
Shanda,Stevenson,"['2', '6', '7', '1']"
Adrien,Hunter,"['6', '1']"
Ophelia,Decker,"['6', '4', '1']"
Harold,O'connor,"['4', '6', '7', '3', '1']"
Penni,Best,"['6', '3', '1']"
Edris,Barrett,"['7', '3', '1']"
Tempie,Jacobson,"['6', '7']"
Dollie,Cervantes,"['1', '6', '7', '2']"
Londa,Gould,"['6', '3']"
Lorrie,Justice,"['3', '1', '2']"
Tayna,Wade,"['6', '5']"
Mark,Benton,"['6', '3']"
Nicola,Knight,"['7', '1', '6']"
Merrie,Fowler,"['6', '4', '3', '1']"
Macie,Ayers,"['3', '7', '4', '1']"
Lee,Dunn,"['6', '3', '7']"
Florrie,Little,"['1', '2', '7', '3']"
Ernest,Rollins,"['6', '3']"
Jamaal,Morrison,"['6', '5']"
Cassie,Cline,"['3', '7']"
Lezlie,Lamb,"['6', '5', '4', '3', '1']"
Ivette,Estes,"['3', '2']"
